"","ID","title","abstract","authors","date","category","doi","version","author_corresponding","author_corresponding_institution","link_page","link_pdf","license","published"
"1",25,"Disease overarching mechanisms that explain and predict outcome of patients with high cardiovascular risk: rationale and design of the Berlin Long-term Observation of Vascular Events (BeLOVE) study","Background: Cardiovascular disease (CVD) is the leading cause of premature death worldwide. Effective and individualized treatment requires exact knowledge about both risk factors and risk estimation. Most evidence for risk prediction currently comes from population-based studies on first incident cardiovascular events. In contrast, little is known about the relevance of risk factors for the outcome of patients with established CVD or those who are at high risk of CVD, including patients with type 2 diabetes. In addition, most studies focus on individual diseases, whereas less is known about disease overarching risk factors and cross-over risk. Aim: The aim of BeLOVE is to improve short- and long-term prediction and mechanistic understanding of cardiovascular disease progression and outcomes in very high-risk patients, both in the acute as well as in the chronic phase, in order to provide the basis for improved, individualized management. Study design: BeLOVE is an observational prospective cohort study of patients of both sexes aged >18 in selected Berlin hospitals, who have a high risk of future cardiovascular events, including patients with a history of acute coronary syndrome (ACS), acute stroke (AS), acute heart failure (AHF), acute kidney injury (AKI) or type 2 diabetes with manifest target-organ damage. BeLOVE includes 2 subcohorts: The acute subcohort includes 6500 patients with ACS, AS, AHF, or AKI within 2-8 days after their qualifying event, who undergo a structured interview about medical history as well as blood sample collection. The chronic subcohort includes 6000 patients with ACS, AS, AHF, or AKI 90 days after event, and patients with type 2 diabetes (T2DM) and target-organ damage. These patients undergo a 6-8 hour deep phenotyping program, including detailed clinical phenotyping from a cardiological, neurological and metabolic perspective, questionnaires including patient-reported outcome measures (PROMs)as well as magnetic resonance imaging. Several biological samples are collected (i.e. blood, urine, saliva, stool) with blood samples collected in a fasting state, as well as after a metabolic challenge (either nutritional or cardiopulmonary exercise stress test). Ascertainment of major adverse cardiovascular events (MACE) will be performed in all patients using a combination of active and passive follow up procedures, such as on-site visits (if applicable), telephone interviews, review of medical charts, and links to local health authorities. Additional phenotyping visits are planned at 2, 5 and 10 years after inclusion into the chronic subcohort. Future perspective: BeLOVE provides a unique opportunity to study both the short- and long-term disease course of patients at high cardiovascular risk through innovative and extensive deep phenotyping. Moreover, the unique study design provides opportunities for acute and post-acute inclusion and allows us to derive two non-nested yet overlapping sub-cohorts, tailored for upcoming research questions. Thereby, we aim to study disease overarching research questions, to understand crossover risk, and to find similarities and differences between clinical phenotypes of patients at high cardiovascular risk.","Siegerink, B.; Weber, J.; Ahmadi, M.; Eckardt, K.-U.; Edelmann, F.; Endres, M.; Gerhardt, H.; Haubold, K.; Hübner, N.; Landmesser, U.; Leistner, D.; Mai, K.; Müller, D. N.; Pieske, B.; Rauch, G.; Schmidt, S.; Schmidt-Ott, K. M.; Schulz-Menger, J.; Spranger, J.; Pischon, T.",20190715,"Cardiovascular Medicine","10.1101/19001024","2","Tobias Pischon","Berlin Institute of Health (BIH) & German Center for Cardiovascular Research (DZHK) & Charité Universitätsmedizin & Max-Delbrück Center for Molecular Medicine i","https://www.medrxiv.org/content/10.1101/19001024v2?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19001024v2.full.pdf","cc_by_nc","NA"
"2",401,"Intrinsic capacity as a framework for Integrated Care for Older People (ICOPE); insights from the 10/66 Dementia Research Group cohort studies in Latin America, India and China","Background The World Health Organization has reframed health and healthcare for older people around achieving the goal of healthy ageing. Recent evidence-based guidelines on Integrated Care for Older People focus on maintaining intrinsic capacity, addressing declines in mobility, nutrition, vision and hearing, cognition, mood and continence aiming to prevent or delay the onset of care dependence. The target group (with one or more declines in intrinsic capacity) is broad, and implementation at scale may be challenging in less-resourced settings. Planning can be informed by assessing the prevalence of intrinsic capacity, characterising the target group, and validating the general approach by evaluating risk prediction for incident dependence and mortality. Methods Population-based cohort studies in urban sites in Cuba, Dominican Republic, Puerto Rico, Venezuela, and rural and urban sites in Peru, Mexico, India and China. Sociodemographic, behaviour and lifestyle, health, healthcare utilisation and cost questionnaires, and physical assessments were administered to all participants, with ascertainment of incident dependence, and mortality, three to five years later. Results In the 12 sites in eight countries, 17,031 participants were surveyed at baseline. Intrinsic capacity was least likely to be retained for locomotion (71.2%), vision (71.3%), cognition (73.5%), and mood (74.1%). Only 30% retained full capacity across all domains, varying between one quarter and two-fifths in most sites. The proportion retaining capacity fell sharply with increasing age, and declines affecting multiple domains were more common. Poverty, morbidity (particularly dementia, depression and stroke), and disability were concentrated among those with DIC, although only 10% were frail, and a further 9% had needs for care. Hypertension and lifestyle risk factors for chronic disease, healthcare utilization and costs were more evenly distributed in the general older population. 15,901 participants were included in the mortality cohort (2,602 deaths/ 53,911 person years of follow-up), and 12,965 participants in the dependence cohort (1900 incident cases/ 38,377 person-years). DIC (any decline, and number of domains affected) strongly and independently predicted incident dependence and death. Relative risks were higher for those who were frail, but were also substantially elevated for the much larger sub-groups yet to become frail. Mortality was mainly concentrated in the frail and dependent sub-groups. Conclusions Our findings support the strategy to focus on optimizing intrinsic capacity in pursuit of healthy ageing. Most needs for care arise in those with declines in intrinsic capacity who are yet to become frail. Implementation at scale requires community-based screening and assessment, and a stepped-care approach to intervention. Community healthcare workers roles would need redefinition to engage, train and support them in these tasks. ICOPE could be usefully integrated into community programmes orientated to the detection and case management of chronic diseases including hypertension and diabetes.","Prince, M. J.; Acosta, D.; Guerra, M.; Huang, Y.; Jacob, K. S.; Jimenez-Velazquez, I. Z.; Jotheeswaran, A. T.; Llibre Rodriguez, J. J.; Salas, A.; Sosa, A. L.; Acosta, I.; Mayston, R.; Liu, Z.; Llibre-Guerra, J. J.; Prina, A. M.; Valhuerdi, A.",20190912,"Health Systems And Quality Improvement","10.1101/19006403","1","Martin J Prince","King\'s Global Health Institute and Health Service and Population Research Department, King\'s College London, London, United Kingdom","https://www.medrxiv.org/content/10.1101/19006403v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19006403v1.full.pdf","cc_by_nc_nd","NA"
"3",1107,"Dose-response relationship between physical activity and mortality in adults with noncommunicable diseases: A systematic review and meta-analysis of cohort studies","Objective To investigate the relationship between post-diagnosis physical activity and mortality in patients with selected noncommunicable diseases, including breast cancer, lung cancer, type 2 diabetes (T2D), ischemic heart disease (IHD), chronic obstructive pulmonary disease (COPD), stroke, osteoarthritis, low back pain and major depressive disorders. Design Systematic review and dose-response meta-analysis. Data sources PubMed, Scopus and the Web of Science were searched systematically for English publications from the inception of the platforms until August 2018. Additionally, the search was updated in August 2019. Eligibility criteria Prospective observational studies examining the relationship between at least three physical activity categories and all-cause mortality or disease-specific mortality as the primary outcome. Results In total, 28 studies were included: 12 for breast cancer, 6 for T2D, 8 for IHD and 2 for COPD. The linear meta-analysis revealed that each 10 metabolic equivalent tasks (MET) h increase of physical activity per week was associated with a 22% lower mortality rate in breast cancer patients (Hazard Ratio [HR], 0.78; 95% CI: 0.71, 0.86), 12% in IHD patients (HR, 0.88; 95% CI: 0.83, 0.93), 30% in COPD patients (HR, 0.70; 95% CI: 0.45, 1.09) and 4% in T2D patients (HR, 0.96; 95% CI: 0.93, 0.99). The non-linear meta-analysis showed a regressive association with no threshold for the beneficial effect of physical activity on mortality. Conclusion Higher levels of post-diagnosis physical activity are associated with lower mortality rates in breast cancer, T2D, IHD and COPD patients, with evidence of a no-threshold and non-linear dose-response pattern.","Geidl, W.; Schlesinger, S.; Mino, E.; Miranda, L.; Pfeifer, K.",20191218,"Public And Global Health","10.1101/2019.12.18.19014340","1","Wolfgang Geidl","Department of Sport Science and Sport, Division Exercise and Health, Friedrich-Alexander University Erlangen-Nuernberg, Erlangen, Germany","https://www.medrxiv.org/content/10.1101/2019.12.18.19014340v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/2019.12.18.19014340v1.full.pdf","cc_by_nc_nd","NA"
"4",1176,"Diabetes mellitus, glycemic traits, and cerebrovascular disease: a Mendelian randomization study","Rationale: Type 2 diabetes mellitus (T2D) is an established risk factor for cerebrovascular disease but the mechanisms underlying this association remain elusive. Disentangling the causal effects of T2D, hyperglycemia, and pre-diabetic phenotypes (insulin resistance, {beta}-cell dysfunction) on major etiological stroke subtypes (ischemic stroke, intracerebral hemorrhage, ischemic stroke subtypes) could inform the development of preventive strategies. Objective: We employed Mendelian randomization (MR) to explore the effects of genetic predisposition to T2D, hyperglycemia, insulin resistance, and {beta}-cell dysfunction on risk of stroke subtypes and related cerebrovascular phenotypes. Methods and Results: We selected instruments for genetic predisposition to T2D, HbA1c levels, fasting glucose levels, insulin resistance, and {beta}-cell dysfunction (proxied by pro-insulin levels) based on published genome-wide association studies (up to 898,130 individuals). Applying two-sample MR, we examined associations with ischemic stroke, intracerebral hemorrhage, and ischemic stroke subtypes (large artery, cardioembolic, small vessel stroke; up to 60,341 cases and 454,450 controls). We further explored associations with the related phenotypes of carotid atherosclerosis, imaging markers of cerebral white matter integrity, and brain atrophy. Genetic predisposition to T2D and elevated HbA1c levels in the pre-diabetic range were associated with higher risk of any ischemic stroke, large artery stroke, carotid plaque and small vessel stroke. Independently of HbA1c levels, we further found genetic predisposition to insulin resistance to be associated with large artery and small vessel stroke, whereas predisposition to {beta}-cell dysfunction was associated with small vessel stroke. Predisposition to {beta}-cell dysfunction was further associated with intracerebral hemorrhage, lower grey matter volume, and total brain volume. Conclusions: This study supports causal effects of T2D and hyperglycemia on large artery and small vessel stroke. We show differential effects of genetically determined insulin resistance and {beta}-cell dysfunction on large artery and small vessel stroke that might have implications for anti-diabetic treatments targeting these mechanisms.","Georgakis, M. K.; Harshfield, E.; Malik, R.; Franceschini, N.; Langenberg, C.; Wareham, N.; Markus, H. S.; Dichgans, M.",20191230,"Genetic And Genomic Medicine","10.1101/2019.12.27.19015834","1","Martin Dichgans","LMU Munich","https://www.medrxiv.org/content/10.1101/2019.12.27.19015834v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/2019.12.27.19015834v1.full.pdf","cc_by","NA"
"5",2384,"Patient level micro simulation model for evaluating the future potential cost effectiveness of pharmacy based interventions in the control and management of diabetes related complications in Canada","Background: The increased risk of complications among diabetes patients poses a serious threat to population health. Pharmacy-based interventions can decrease the burden of diabetes and its related complications. This study evaluates the cost-effectiveness of pharmacy-based interventions and offers insights on the practicality of their adoption by health practitioners. Methods: We developed population-based micro-simulation model using 2,931 patients with diabetes in Canada .We used the risk equations on the UK Prospective Diabetes Study (UKPDS) to estimate the incidence and mortality of four of the most common diabetes-related complications (heart failure, stroke, amputation, and blindness). We extrapolated the potential effects of pharmacy interventions on reducing time-varying risk factors for diabetes complications. Cost was quantified as the annual cost of complications; and, the cost associated with pharmacy-based interventions. The final outcomes were the incremental costs per quality-adjusted life years (QALY) gained. Both deterministic and probabilistic sensitivity analysis were conducted to examine the robustness of the ratio. Result: Pharmacy-based interventions could prevent 155 preventable deaths, 159 strokes, 29 cases of blindness, 24 amputations, and 19 heart failures across the lifetime of 2,931 patients. In addition, an estimated 953 QALYs (0.32 per patient) would be gained among the intervention group. Per QALY, the incremental discounted cost is $3,928, suggesting that pharmacy-based interventions are likely cost-effective compared to usual care. At an ICER threshold of $50,000, over 92% of the simulation remains cost-effective. Conclusion: Pharmacist-based interventions targeted at addressing the development of diabetes-related complications among Canadian patients have the potential to offer a cost-effective strategy.","Yaghoubi, M.; Mansell, K.; Hassanali Vatanparast, H.; Zeng, W.; Javanbakht, M.; Farag, M.",20200313,"Health Economics","10.1101/2020.03.10.20033597","1","Mohsen Yaghoubi","The University of British Columbia","https://www.medrxiv.org/content/10.1101/2020.03.10.20033597v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/2020.03.10.20033597v1.full.pdf","cc0_ng","NA"
"6",3311,"Phenotypic Associations and Shared Genetic Etiology between Bipolar Disorder and Cardiometabolic Traits","Background: People with bipolar disorder (BPD) are more likely to die prematurely, which is partly attributed to comorbid cardiometabolic traits. BPD has a bidirectional relationship with cardiometabolic traits, but their shared etiology is poorly understood. This study aimed to examine the phenotypic associations and shared genetic etiology between BPD and various cardiometabolic traits. Methods: In a subset of the UK Biobank sample (N = 67,317) we investigated phenotypic associations between BPD (n = 4,155) and cardiometabolic traits, represented by biomarkers, anthropometric traits and cardiometabolic diseases. To determine the shared genetic etiology, polygenic risk scores and genetic correlations were calculated between BPD and these traits. Results: Several cardiometabolic traits were significantly associated with increased risk for BPD, namely low total cholesterol, low high-density lipoprotein cholesterol, high triglycerides, high glycated haemoglobin (HbA1c), low systolic blood pressure, high body mass index, high waist-to-hip ratio, as well as stroke, coronary artery disease and type 2 diabetes diagnosis. Polygenic risk score regressions showed that higher polygenic risk for triglycerides, waist-to-hip ratio, coronary artery disease, and type 2 diabetes was associated with increased risk for bipolar disorder. These associations were not replicated when using genetic correlations. Conclusions: This large study identified phenotypic cardiometabolic risk factors for BPD. Moreover, it found that comorbidities between BPD and waist-to-hip ratio, triglycerides, type 2 diabetes and coronary artery disease may be based on shared genetic etiology. These results provide a better understanding of the phenotypic and genetic comorbidity between BPD and cardiometabolic traits.","Fürtjes, A. E.; Coleman, J. R.; Tyrrell, J.; Lewis, C. M.; Hagenaars, S. P.",20200402,"Psychiatry And Clinical Psychology","10.1101/2020.03.31.20048884","1","Anna E Fürtjes","Social, Genetic and Developmental Psychiatry Centre, Institute of Psychiatry, Psychology & Neuroscience, Kings College London, London, UK","https://www.medrxiv.org/content/10.1101/2020.03.31.20048884v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/2020.03.31.20048884v1.full.pdf","cc_by_nc_nd","NA"
"7",3520,"Barriers to healthcare for autistic adults: Consequences & policy implications. A cross-sectional study.","Background: Autism is associated with reduced life expectancy, poor physical and mental health, and increased prevalence of epilepsy, obesity, hypertension, diabetes and stroke. Aim: To quantify self-reported barriers to healthcare and their consequences amongst autistic adults and compare with parents of autistic children and non-autistic controls Design and Setting: An online survey was developed from a qualitative study undertaken at Autscape, an autistic conference. Method: Thematic analysis of 75 responses was used to develop a 57-item online survey completed by 1,271 autistic adults, 406 parents of autistic children and 303 control subjects. Results: Difficulty visiting a GP was reported by 78.2% of autistic adults, 51.4% of parents and 34.9% of controls. The highest-rated barriers by autistic adults were deciding if symptoms warrant a GP visit (71.9%), difficulty using the telephone to book appointments (60.7%), not feeling understood (55.5%) and difficulty communicating with their doctor (53.0%). A higher rate of adverse health outcomes was reported by autistic adults; untreated physical and mental health conditions, not attending specialist referral or screening programmes, requiring more extensive treatment or surgery due to late presentations, and untreated potentially life threatening conditions. Autistic adults reported a need for online or text based appointment booking, facility to email in advance the reason for consultation, first or last clinic appointment and a quiet place to wait. Conclusion: Reduction of healthcare inequalities for autistic people requires that healthcare providers understand autistic culture and communication needs. Adjustments for autistic communication needs are as necessary as ramps are for wheelchair users.","Doherty, M.; O'sullivan, J. D.; Neilson, S. D.",20200406,"Health Policy","10.1101/2020.04.01.20050336","1","Mary Doherty","Department of Anaesthesia, Our Lady\'s Hospital, Navan, Meath, Ireland","https://www.medrxiv.org/content/10.1101/2020.04.01.20050336v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/2020.04.01.20050336v1.full.pdf","cc_by_nd","NA"
"8",4982,"Inclusion of medical fitness to drive in medical postgraduate training curricula","Background: Transport mobility, and access to driving, is an important factor in social inclusion and well-being. Doctors have an important role to play in supporting safe mobility through applying the knowledge developed in the field of traffic medicine and incorporating state of the art national and international medical fitness to drive (MFTD) guidelines. Little is known about the profile of MFTD in postgraduate curricula for core and higher specialist training. Aims: We profiled the inclusion of MFTD in the curricula of postgraduate core, higher and streamlined medical and surgical specialties in the Republic of Ireland and the UK. Methods: All publicly available syllabi of basic and higher/ streamlined specialist training in postgraduate medical and surgical colleges in both jurisdictions were analysed (N = 122). Results: In Ireland, 25% of basic training schemes included MFTD in the curriculum. Two-thirds of curricula of higher specialty and streamlined training schemes also included MFTD. For the UK, 44% of core and 36% of higher training schemes curricula included MFTD. Just under one-quarter of all curricula reviewed included MFTD for more than one medical condition or treatment. Common topics in both Irish and UK curricula included seizures/epilepsy, syncope and visual disturbances. Conclusion: There are notable deficits in MFTD training for specialists in Ireland and the UK. Common conditions which can significantly impair MFTD such as stroke, diabetes and alcohol use disorders are severely underrepresented and curricula should be revisited to include relevant training and guidance for MFTD for trainees.","Al Azawi, L.; O'byrne, A.; Roche, L.; O'neill, D.; Ryan, M.",20200425,"Medical Education","10.1101/2020.04.22.20075465","1","Desmond O'neill","National Office for Traffic Medicine, Royal College of Physicians in Ireland, Dublin, Ireland","https://www.medrxiv.org/content/10.1101/2020.04.22.20075465v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/2020.04.22.20075465v1.full.pdf","cc_no","NA"
"9",5229,"Cardiovascular safety and efficacy of combination therapy with metformin and sodium-glucose cotransporter-2 inhibitors versus metformin and sulfonylureas in patients with type 2 diabetes: a systematic review and meta-analysis of randomized controlled trials","Background: Diabetes mellitus is a serious threat to global health and among the top 10 causes of death, with nearly half a billion people living with it worldwide. Treating patients with diabetes tend to become more challenging due to the nature of the disease. The role and benefits of combination therapies for the management of type 2 diabetes are well-documented, while the comparative safety and efficacy among the different combination options have not been elucidated. We aimed to systematically synthesize the evidence on the comparative cardiovascular safety and efficacy of combination therapy with metformin and sodium-glucose cotransporter-2 inhibitors versus metformin and sulfonylureas in patients with type 2 diabetes. Method: We searched MEDLINE-PubMed, Embase, Cochrane Library, and ClinicalTrials.gov up to 15 August 2019 and without restriction in the year of publication. We included randomized controlled trials of patients with type 2 diabetes who were on metformin- sodium-glucose cotransporter-2 inhibitors or metformin-sulphonylureas combination therapy at least for a year. The primary endpoints were all-cause mortality and serious adverse events, and the secondary endpoints were cardiovascular mortality, non-fatal myocardial infarction, non-fatal stroke, hypoglycemia, and changes in glycosylated hemoglobin A1C, body weight, fasting plasma glucose, blood pressure, high-density lipoprotein cholesterol, and low-density lipoprotein cholesterol. Random effect model was carried out to calculate mean differences for continuous outcomes and risk ratio for dichotomous outcomes between the two combination therapies. Results: Of 3,190 citations, we included nine trials involving 10,974 participants. The pooled analysis showed no significance difference in all-cause mortality (RR = 0.93, 95% CI [0.52, 1.67]), serious adverse events (RR=0.96, 95% CI [0.79, 1.17]) and adverse events (RR=1.00, 95% CI [0.99, 1.02]) between the two, but in hypoglycemia (RR= 0.13, 95% CI [0.10, 0.17], P<0.00001). Participants taking metformin-sodium-glucose cotransporter-2 inhibitors showed a significantly greater reduction in HbA1c (MD= -0.10, 95% CI [-0.17, -0.03] %, body weight (MD= -4.57, 95% CI [-4.74, -4.39] kg, systolic blood pressure (MD=-4.77, 95% CI [-5.39, -4.16] mmHg, p<0.00001), diastolic blood pressure (MD=-2.07, 95% CI [-2.74, -1.40] mmHg, and fasting plasma glucose (MD= -0.55, 95% CI [-0.69, -0.41] mmol/L, p < 0.00001). Conclusion: A combination therapy of metformin and sodium-glucose cotransporter-2 inhibitors is a safe and efficacious alternative to combination therapy of metformin and sulphonylureas for patients with type 2 diabetes who are at risk of cardiovascular comorbidity. However, there remains a need for additional long-term randomized controlled trials as available studies are very limited and heterogeneous. Keywords: Combination therapy, Type 2 diabetes mellitus, cardiovascular diseases, Randomized controlled trials, metformin, sodium-glucose cotransporter-2 inhibitors, sulfonylureas","Gebrie, D.; Getnet, D.; Manyazewal, T.",20200429,"Endocrinology","10.1101/2020.04.24.20077917","1","Desye Gebrie","1. Center for Innovative Drug Development and Therapeutic Trials for Africa, College of Health Sciences, Addis Ababa University, Addis Ababa, Ethiopia 2. School","https://www.medrxiv.org/content/10.1101/2020.04.24.20077917v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/2020.04.24.20077917v1.full.pdf","cc_by_nc_nd","NA"
"10",6009,"Etiologic Subtypes of Ischemic Stroke in SARS-COV-2 Virus patients","Objective: To describe the ischemic stroke etiopathogenesis related to COVID-19 in a cohort of NYC hospitals. Background: Extra-pulmonary involvement of COVID-19 has been reported in the hepatic, renal and hematological systems. Most neurological manifestations are non-focal but few have reported the characteristics of ischemic strokes or investigated its pathophysiology. Methods: Over the last 6 weeks, data from four centers in New York City were collected to review the possible ischemic stroke types seen in COVID-19 positive patients. Their presentation, demographics, other related vascular risk factors, associated laboratory and coagulation markers, as well as imaging and outcomes were collected. Results: In our study, age range of patients was 25-75 with no significant male preponderance. 70% presented for acute hospitalization due the stroke. About a fifth did not have common risk factors for ischemic stroke like diabetes and hypertension. None had history of atrial fibrillation or smoking. 50% had poor outcome with four ending in mortality and one in a critical condition due ARDS. All had high Neutrophil/Lymphocyte ratio except one who demonstrated some neurological recovery. In 70% of our cases, D-dimer levels were collected, and all showed mild to severe elevation. None of the emergent large vessel occlusion (LVO) cases had known cardiac risk factors but two out of five were found to have cardiac abnormalities during the course of their hospitalization. All LVOs had hypercoagulable lab markers especially elevated D-dimer and/or Fibrinogen. The LVO patients were younger and sicker with a median age of 46 and mean NIHSS of 24 as opposed to non-LVOs with a median age of 62 and mean NIHSS of 6 respectively. Conclusion: COVID-19 related ischemic events can be small vessel, branch emboli or large vessel occlusions. The latter is often associated with either a hypercoagulable state or cardio-embolism. Patient outcomes were worse when multi-organ or pulmonary system failure prevailed. Keywords: COVID-19, Acute Ischemic strokes, Emergent Large Vessel Occlusion, Mechanical Thrombectomy","Berekashvili, K.; Dmytriw, A. A.; Vulkanov, V.; Agarwal, S.; Khaneja, A.; Turkel-Parella, D.; Liff, J.; Farkas, J.; Nandakumar, T.; Zhou, T.; Frontera, J.; Kahn, D. E.; Kim, S.; Humbert, K. A.; Sanger, M. D.; Yaghi, S.; Lord, A.; Arcot, K.; Tiwari, A.",20200515,"Neurology","10.1101/2020.05.03.20077206","2","Ambooj Tiwari","Interventional Neuro Associates,  NYU Langone health, Jamaica Hospital Medical Center, Brookdale University Hospital Medical Center, Richmond University Medical","https://www.medrxiv.org/content/10.1101/2020.05.03.20077206v2?versioned=TRUE","https://www.medrxiv.org/content/10.1101/2020.05.03.20077206v2.full.pdf","cc_no","NA"
